date,I,R,D,C
2020-01-22,4,0,0,4
2020-01-23,6,0,0,6
2020-01-24,12,0,0,12
2020-01-25,20,0,0,20
2020-01-26,29,0,0,29
2020-01-27,41,0,0,41
2020-01-28,56,0,0,56
2020-01-29,87,0,0,87
2020-01-30,125,0,0,125
2020-01-31,169,0,0,169
2020-02-01,217,1,0,218
2020-02-02,271,4,0,275
2020-02-03,328,7,0,335
2020-02-04,388,11,0,399
2020-02-05,443,19,0,462
2020-02-06,494,30,0,524
2020-02-07,541,46,0,587
2020-02-08,579,67,0,646
2020-02-09,608,91,0,699
2020-02-10,633,118,0,751
2020-02-11,647,149,0,796
2020-02-12,653,184,0,837
2020-02-13,652,221,1,874
2020-02-14,646,257,1,904
2020-02-15,636,296,1,933
2020-02-16,620,335,1,956
2020-02-17,596,377,2,975
2020-02-18,569,417,2,988
2020-02-19,541,454,2,997
2020-02-20,504,496,3,1003
2020-02-21,465,538,3,1006
2020-02-22,429,576,3,1008
2020-02-23,395,612,3,1010
2020-02-24,362,645,4,1011
2020-02-25,328,680,4,1012
2020-02-26,299,711,4,1014
2020-02-27,275,736,4,1015
2020-02-28,251,760,4,1015
2020-02-29,230,782,4,1016
2020-03-01,208,804,4,1016
2020-03-02,187,826,4,1017
2020-03-03,167,846,4,1017
2020-03-04,148,865,4,1017
2020-03-05,129,884,4,1017
2020-03-06,112,902,4,1018
2020-03-07,96,918,4,1018
2020-03-08,82,932,4,1018
2020-03-09,68,946,4,1018
2020-03-10,56,958,4,1018
2020-03-11,45,969,4,1018
2020-03-12,36,978,4,1018
2020-03-13,29,985,4,1018
2020-03-14,22,992,4,1018
2020-03-15,15,999,4,1018
2020-03-16,10,1004,4,1018
2020-03-17,7,1007,4,1018
2020-03-18,4,1010,4,1018
2020-03-19,2,1012,4,1018
2020-03-20,0,1014,4,1018
2020-03-21,0,1014,4,1018
2020-03-22,0,1014,4,1018
2020-03-23,0,1014,4,1018
2020-03-24,0,1014,4,1018
2020-03-25,0,1014,4,1018
2020-03-26,0,1014,4,1018
2020-03-27,0,1014,4,1018
2020-03-28,0,1014,4,1018
2020-03-29,0,1014,4,1018
2020-03-30,0,1014,4,1018
2020-03-31,0,1014,4,1018
2020-04-01,0,1014,4,1018
2020-04-02,0,1014,4,1018
2020-04-03,0,1014,4,1018
2020-04-04,0,1014,4,1018
2020-04-05,0,1014,4,1018
2020-04-06,0,1014,4,1018
2020-04-07,0,1014,4,1018
2020-04-08,1,1014,4,1019
2020-04-09,1,1014,4,1019
2020-04-10,1,1014,4,1019
2020-04-11,1,1014,4,1019
2020-04-12,1,1014,4,1019
2020-04-13,1,1014,4,1019
2020-04-14,1,1014,4,1019
2020-04-15,1,1014,4,1019
2020-04-16,1,1014,4,1019
2020-04-17,1,1014,4,1019
2020-04-18,1,1014,4,1019
2020-04-19,1,1014,4,1019
2020-04-20,1,1014,4,1019
2020-04-21,1,1014,4,1019
2020-04-22,1,1014,4,1019
2020-04-23,1,1014,4,1019
2020-04-24,0,1015,4,1019
2020-04-25,0,1015,4,1019
2020-04-26,0,1015,4,1019
2020-04-27,0,1015,4,1019
2020-04-28,0,1015,4,1019
2020-04-29,0,1015,4,1019
2020-04-30,0,1015,4,1019
2020-05-01,0,1015,4,1019
2020-05-02,0,1015,4,1019
2020-05-03,0,1015,4,1019
2020-05-04,0,1015,4,1019
2020-05-05,0,1015,4,1019
2020-05-06,0,1015,4,1019
2020-05-07,0,1015,4,1019
2020-05-08,0,1015,4,1019
2020-05-09,0,1015,4,1019
2020-05-10,0,1015,4,1019
2020-05-11,0,1015,4,1019
2020-05-12,0,1015,4,1019
2020-05-13,0,1015,4,1019
2020-05-14,0,1015,4,1019
2020-05-15,0,1015,4,1019
2020-05-16,0,1015,4,1019
2020-05-17,0,1015,4,1019
2020-05-18,0,1015,4,1019
2020-05-19,0,1015,4,1019
2020-05-20,0,1015,4,1019
2020-05-21,0,1015,4,1019
2020-05-22,0,1015,4,1019
2020-05-23,0,1015,4,1019
2020-05-24,0,1015,4,1019
2020-05-25,0,1015,4,1019
2020-05-26,0,1015,4,1019
2020-05-27,0,1015,4,1019
2020-05-28,0,1015,4,1019
2020-05-29,0,1015,4,1019
2020-05-30,0,1015,4,1019
2020-05-31,0,1015,4,1019
2020-06-01,0,1015,4,1019
2020-06-02,0,1015,4,1019
2020-06-03,0,1015,4,1019
2020-06-04,0,1015,4,1019
2020-06-05,0,1015,4,1019
2020-06-06,0,1015,4,1019
2020-06-07,0,1015,4,1019
2020-06-08,0,1015,4,1019
2020-06-09,0,1015,4,1019
